"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"selectivity",5,0.650936515416342,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",6,7.32796032100037,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",7,7.31925344056558,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",8,4.86853372499719,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",9,3.50761578893382,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",10,2.89596481461708,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",11,2.63804041808501,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",12,2.63804041808501,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
"selectivity",1,2.06115362243856e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",2,2.06115362243856e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",3,2.06112797894784e-09,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",4,3.44361157310408e-06,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",5,0.0101109736723569,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
"selectivity",6,0.33362972233082,"Fishery 2","model age class","relative selectivity","Fishery selectivity at age",2,,"2.LL.DWFN.1b","2.LL.DWFN.1b"
