"component","value","parent","domain","label","fishery","region","fishery_name"
"index",-93.761136846071,,"total","CPUE",,,
"age_length",785.763743490321,,"total","CAAL",,,
"length_composition",-42458.8586057788,,"total","Length",,,
"weight_composition",0,,"total","Weight",,,
"catch_age",0,,"total","Catch at age",,,
"catch",0,,"total","Catch",,,
"recruitment_process",0,,"total","Recruitment process",,,
"state_process",0,,"total","State process",,,
"penalties",39.1183162194447,,"total","Penalties",,,
"index/region/1",-43.0879638324874,"index","index_region","Region 1",,1,
"index/region/1/fishery/18",-33.088604957788,"index/region/1","index","18.L.INDEX.1abcd",18,1,"18.L.INDEX.1abcd"
"index/region/1/fishery/19",-9.99935887469942,"index/region/1","index","19.TR.INDEX.1ef",19,1,"19.TR.INDEX.1ef"
"index/region/2",-50.6731730135836,"index","index_region","Region 2",,2,
"index/region/2/fishery/20",-50.6731730135836,"index/region/2","index","20.L.INDEX.2abc",20,2,"20.L.INDEX.2abc"
"length_composition/region/1",-36993.1012009188,"length_composition","length_region","Region 1",,1,
"length_composition/region/1/fishery/3",-8697.4588629908,"length_composition/region/1","length","3.LL.DWFN.1c",3,1,"3.LL.DWFN.1c"
"length_composition/region/1/fishery/4",-4752.77572518152,"length_composition/region/1","length","4.LL.DWFN.1d",4,1,"4.LL.DWFN.1d"
"length_composition/region/1/fishery/6",-8283.46268487299,"length_composition/region/1","length","6.LL.PICT.1ab",6,1,"6.LL.PICT.1ab"
"length_composition/region/1/fishery/7",-930.101039070313,"length_composition/region/1","length","7.LL.AZ.1ab",7,1,"7.LL.AZ.1ab"
"length_composition/region/1/fishery/8",-2365.4309918516,"length_composition/region/1","length","8.LL.DWFN.1cd",8,1,"8.LL.DWFN.1cd"
"length_composition/region/1/fishery/9",-334.917723084532,"length_composition/region/1","length","9.LL.PICT.1cd",9,1,"9.LL.PICT.1cd"
"length_composition/region/1/fishery/10",-2873.21070446952,"length_composition/region/1","length","10.LL.AZ.1cd",10,1,"10.LL.AZ.1cd"
"length_composition/region/1/fishery/11",-4711.2968264313,"length_composition/region/1","length","11.TR.ALL1c",11,1,"11.TR.ALL1c"
"length_composition/region/1/fishery/12",-1043.39972526229,"length_composition/region/1","length","12.TR.All.1d",12,1,"12.TR.All.1d"
"length_composition/region/1/fishery/13",-60.8484346854102,"length_composition/region/1","length","13.DN.All.1cd",13,1,"13.DN.All.1cd"
"length_composition/region/1/fishery/18",-2066.48604828863,"length_composition/region/1","length","18.L.INDEX.1abcd",18,1,"18.L.INDEX.1abcd"
"length_composition/region/1/fishery/19",-873.712434729902,"length_composition/region/1","length","19.TR.INDEX.1ef",19,1,"19.TR.INDEX.1ef"
"length_composition/region/2",-5465.7574048599,"length_composition","length_region","Region 2",,2,
"length_composition/region/2/fishery/14",-3105.88932777725,"length_composition/region/2","length","14.LL.EPO.2a",14,2,"14.LL.EPO.2a"
"length_composition/region/2/fishery/15",-773.652138321337,"length_composition/region/2","length","15.LL.EPO.2b",15,2,"15.LL.EPO.2b"
"length_composition/region/2/fishery/16",-256.480927970079,"length_composition/region/2","length","16.LL.EPO.2c",16,2,"16.LL.EPO.2c"
"length_composition/region/2/fishery/17",-48.6260862472612,"length_composition/region/2","length","17.TR.EPO.2abc",17,2,"17.TR.EPO.2abc"
"length_composition/region/2/fishery/20",-1281.10892454397,"length_composition/region/2","length","20.L.INDEX.2abc",20,2,"20.L.INDEX.2abc"
"age_length/region/1",785.763743490321,"age_length","conditional_age_region","Region 1",,1,
"age_length/region/1/fishery/3",11.0654284279919,"age_length/region/1","conditional_age","3.LL.DWFN.1c",3,1,"3.LL.DWFN.1c"
"age_length/region/1/fishery/6",305.350056523439,"age_length/region/1","conditional_age","6.LL.PICT.1ab",6,1,"6.LL.PICT.1ab"
"age_length/region/1/fishery/7",45.9083548158822,"age_length/region/1","conditional_age","7.LL.AZ.1ab",7,1,"7.LL.AZ.1ab"
"age_length/region/1/fishery/8",22.0236219566238,"age_length/region/1","conditional_age","8.LL.DWFN.1cd",8,1,"8.LL.DWFN.1cd"
"age_length/region/1/fishery/9",141.141578977495,"age_length/region/1","conditional_age","9.LL.PICT.1cd",9,1,"9.LL.PICT.1cd"
"age_length/region/1/fishery/10",56.9111197017351,"age_length/region/1","conditional_age","10.LL.AZ.1cd",10,1,"10.LL.AZ.1cd"
"age_length/region/1/fishery/11",203.363583087153,"age_length/region/1","conditional_age","11.TR.ALL1c",11,1,"11.TR.ALL1c"
"penalties/no_penalty",0,"penalties","penalties","Regional recruitment",,,
"penalties/good_penalty",0,"penalties","penalties","Movement",,,
"penalties/call_penalty_base",14.437428807885,"penalties","penalties","Configured penalties",,,
"penalties/bh_steep_penalty",24.6808818252702,"penalties","penalties","Steepness",,,
"penalties/fish_mortality_average_penalty",0,"penalties","penalties","Mean fishing mortality",,,
"penalties/z_cutoff_penalty",0,"penalties","penalties","Mortality bound",,,
"penalties/parameter_bound_penalty",5.58628962503131e-06,"penalties","penalties","Parameter bounds",,,
"penalties/static",0,"penalties","penalties","Static terms",,,
