"Fishery","Fishery name"
1,"LL.DWFN.1a"
2,"LL.DWFN.1b"
3,"LL.DWFN.1c"
4,"LL.DWFN.1d"
5,"LL.PICT.1ab"
6,"LL.PICT.1cd"
7,"LL.AZ.1abcd"
8,"LL.DWFN.1ef"
9,"LL.PICT.1ef"
10,"LL.AZ.1ef"
11,"TR.ALL.1e"
12,"TR.ALL.1f"
13,"DN.ALL.1ef"
14,"LL.EPO.2a"
15,"LL.EPO.2b"
16,"LL.EPO.2c"
17,"TR.EPO.2abc"
18,"LL.INDEX.1abcd.1954-2022"
19,"TR.INDEX.1ef.NZ-troll"
20,"LL.INDEX.2abc.1954-2022"
