"time","metric","value","unit","group","definition","display_name","model","label","facet"
2002,"dynamic_spawning_depletion",0.614901198574668,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2003,"dynamic_spawning_depletion",0.578435200752029,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2004,"dynamic_spawning_depletion",0.553153680207686,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2005,"dynamic_spawning_depletion",0.566682499830359,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2006,"dynamic_spawning_depletion",0.57762763915547,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2007,"dynamic_spawning_depletion",0.571705311723648,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2008,"dynamic_spawning_depletion",0.554263804625666,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2009,"dynamic_spawning_depletion",0.549735911304265,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2010,"dynamic_spawning_depletion",0.54646195941324,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2011,"dynamic_spawning_depletion",0.533163666518923,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2012,"dynamic_spawning_depletion",0.543759945442146,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2013,"dynamic_spawning_depletion",0.538889428345517,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2014,"dynamic_spawning_depletion",0.543709768715363,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2015,"dynamic_spawning_depletion",0.544433487442849,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2016,"dynamic_spawning_depletion",0.515924526307444,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2017,"dynamic_spawning_depletion",0.500019088653159,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2018,"dynamic_spawning_depletion",0.492220793785388,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2019,"dynamic_spawning_depletion",0.478572329600404,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2020,"dynamic_spawning_depletion",0.452074018126888,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2021,"dynamic_spawning_depletion",0.449794985758553,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2022,"dynamic_spawning_depletion",0.497178944294371,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1954,"fishing_mortality",0.00149113223217861,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1955,"fishing_mortality",0.00214447495139981,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1956,"fishing_mortality",0.0014243681769065,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1957,"fishing_mortality",0.00236805933390351,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1958,"fishing_mortality",0.0041206077110922,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1959,"fishing_mortality",0.0073757219063523,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1960,"fishing_mortality",0.0108160865270698,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1961,"fishing_mortality",0.0106571195795126,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1962,"fishing_mortality",0.0102923321989428,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1963,"fishing_mortality",0.00770154701395925,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1964,"fishing_mortality",0.00895838436880218,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1965,"fishing_mortality",0.0147674258166926,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1966,"fishing_mortality",0.0236568099716583,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1967,"fishing_mortality",0.0264373179522849,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1968,"fishing_mortality",0.0218367172120986,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1969,"fishing_mortality",0.0185660119960615,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1970,"fishing_mortality",0.0254683372267912,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1971,"fishing_mortality",0.0342105330272503,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1972,"fishing_mortality",0.0350686542540263,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1973,"fishing_mortality",0.031187035744254,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1974,"fishing_mortality",0.0194002193750333,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1975,"fishing_mortality",0.0117564373223741,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1976,"fishing_mortality",0.0137819682401578,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1977,"fishing_mortality",0.0298678703190904,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1978,"fishing_mortality",0.0359155915783878,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1979,"fishing_mortality",0.0235008549365132,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1980,"fishing_mortality",0.0223887682105345,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1981,"fishing_mortality",0.0226859546002917,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1982,"fishing_mortality",0.0237081928162712,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1983,"fishing_mortality",0.0209983245004665,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1984,"fishing_mortality",0.0226884137871074,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1985,"fishing_mortality",0.0297234449904323,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1986,"fishing_mortality",0.0321153013064918,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1987,"fishing_mortality",0.0212131404058581,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1988,"fishing_mortality",0.0280566919085606,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1989,"fishing_mortality",0.0540761540290812,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1990,"fishing_mortality",0.0332542523855526,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1991,"fishing_mortality",0.0256307046138271,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1992,"fishing_mortality",0.0311450589976627,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1993,"fishing_mortality",0.026479840761793,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1994,"fishing_mortality",0.0292291917553393,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1995,"fishing_mortality",0.0216883332848626,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1996,"fishing_mortality",0.0301898184269007,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1997,"fishing_mortality",0.0282164092970973,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1998,"fishing_mortality",0.050643487511731,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1999,"fishing_mortality",0.0193442833507533,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2000,"fishing_mortality",0.0360044556017279,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2001,"fishing_mortality",0.0345053888720523,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2002,"fishing_mortality",0.0397445022683993,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2003,"fishing_mortality",0.0338350972067225,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2004,"fishing_mortality",0.0428041016587416,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2005,"fishing_mortality",0.0493851085670385,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2006,"fishing_mortality",0.0399230111066713,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2007,"fishing_mortality",0.0273816700333086,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2008,"fishing_mortality",0.0317427228424561,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2009,"fishing_mortality",0.040751159207864,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2010,"fishing_mortality",0.046076001790203,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2011,"fishing_mortality",0.0288516578163519,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2012,"fishing_mortality",0.0420248298091873,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2013,"fishing_mortality",0.0487431084974212,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2014,"fishing_mortality",0.0432350250895116,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2015,"fishing_mortality",0.0467774276645573,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2016,"fishing_mortality",0.051669921469889,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2017,"fishing_mortality",0.0654419965247722,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2018,"fishing_mortality",0.0436409780829559,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2019,"fishing_mortality",0.0386734760782136,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2020,"fishing_mortality",0.0408596686650793,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2021,"fishing_mortality",0.0389350647383587,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
2022,"fishing_mortality",0.0462056163737052,"per year","Native MFCL / INI 1003","Population-number-weighted fishing mortality across ages and regions at report censuses, annualized from seasonal integrated F",,"native-1003","fishing mortality","all"
1954,"recruitment",155072160,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1955,"recruitment",155072160,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1956,"recruitment",150860410,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1957,"recruitment",92720050,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1958,"recruitment",116704020,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1959,"recruitment",45460694,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1960,"recruitment",26012911,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1961,"recruitment",74757010,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1962,"recruitment",108335080,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1963,"recruitment",139766250,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1964,"recruitment",53241347,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1965,"recruitment",15287551,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1966,"recruitment",65238060,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1967,"recruitment",50524951,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1968,"recruitment",55273170,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1969,"recruitment",46645912,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1970,"recruitment",36597376,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1971,"recruitment",38833756,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1972,"recruitment",39782838,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1973,"recruitment",69453860,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1974,"recruitment",114581680,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1975,"recruitment",55910710,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1976,"recruitment",30211302,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1977,"recruitment",29844782,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1978,"recruitment",35884847,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1979,"recruitment",47580208,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1980,"recruitment",68144530,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1981,"recruitment",56145870,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1982,"recruitment",45864934,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1983,"recruitment",51147110,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1984,"recruitment",62063970,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1985,"recruitment",30184451,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1986,"recruitment",50525512,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1987,"recruitment",58433500,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1988,"recruitment",69229030,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1989,"recruitment",80107420,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1990,"recruitment",39654591,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1991,"recruitment",81474320,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1992,"recruitment",57722820,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1993,"recruitment",64032560,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1994,"recruitment",79346560,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1995,"recruitment",89195050,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1996,"recruitment",52435189,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1997,"recruitment",55211087,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1998,"recruitment",34849622,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1999,"recruitment",117700090,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2000,"recruitment",29762202,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2001,"recruitment",93918930,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2002,"recruitment",108368880,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2003,"recruitment",98373090,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2004,"recruitment",53054577,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2005,"recruitment",60652150,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2006,"recruitment",85943850,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2007,"recruitment",120006890,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2008,"recruitment",69345740,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2009,"recruitment",88872540,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2010,"recruitment",108142910,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2011,"recruitment",111332890,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2012,"recruitment",70785830,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2013,"recruitment",71021290,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2014,"recruitment",93318600,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2015,"recruitment",85577560,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2016,"recruitment",54326857,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2017,"recruitment",45391681,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2018,"recruitment",121336510,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2019,"recruitment",97726170,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2020,"recruitment",90996020,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2021,"recruitment",79155550,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
2022,"recruitment",71275520,"fish","KIMSA / hybrid F","MFCL report census recruitment",,"kimsa","recruitment","all"
1954,"spawning_biomass",1332542.2,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1955,"spawning_biomass",1305815.6,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1956,"spawning_biomass",1282626.1,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1957,"spawning_biomass",1268269.4,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1958,"spawning_biomass",1254849,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1959,"spawning_biomass",1237657.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1960,"spawning_biomass",1186108.2,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1961,"spawning_biomass",1094731.5,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1962,"spawning_biomass",989827.1,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1963,"spawning_biomass",827663.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1964,"spawning_biomass",684890.5,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1965,"spawning_biomass",633532.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1966,"spawning_biomass",660524.2,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1967,"spawning_biomass",672383.3,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1968,"spawning_biomass",587660.3,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1969,"spawning_biomass",485908.6,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1970,"spawning_biomass",438818.9,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1971,"spawning_biomass",401650.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1972,"spawning_biomass",365021.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1973,"spawning_biomass",324951.13,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1974,"spawning_biomass",280743.19,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1975,"spawning_biomass",251701.9,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1976,"spawning_biomass",262225.29,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1977,"spawning_biomass",326120.49,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
1978,"spawning_biomass",389826.8,"t","KIMSA / hybrid F","MFCL report census spawning_biomass","Spawning potential","kimsa","Spawning potential","all"
