"time","metric","value","unit","group","definition","display_name","model","label","facet"
2003,"recruitment",98380000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2004,"recruitment",53055000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2005,"recruitment",60650000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2006,"recruitment",85950000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2007,"recruitment",120020000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2008,"recruitment",69340000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2009,"recruitment",88880000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2010,"recruitment",108150000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2011,"recruitment",111340000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2012,"recruitment",70780000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2013,"recruitment",71030000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2014,"recruitment",93320000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2015,"recruitment",85570000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2016,"recruitment",54324000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2017,"recruitment",45386000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2018,"recruitment",121340000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2019,"recruitment",97730000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2020,"recruitment",9.1e+07,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2021,"recruitment",79160000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2022,"recruitment",71280000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1954,"spawning_biomass",1332650,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1955,"spawning_biomass",1305930,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1956,"spawning_biomass",1282730,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1957,"spawning_biomass",1268370,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1958,"spawning_biomass",1254960,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1959,"spawning_biomass",1237890,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1960,"spawning_biomass",1186590,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1961,"spawning_biomass",1095230,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1962,"spawning_biomass",990180,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1963,"spawning_biomass",827890,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1964,"spawning_biomass",685050,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1965,"spawning_biomass",633680,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1966,"spawning_biomass",660670,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1967,"spawning_biomass",672510,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1968,"spawning_biomass",587720,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1969,"spawning_biomass",486000,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1970,"spawning_biomass",439000,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1971,"spawning_biomass",401780,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1972,"spawning_biomass",365100,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1973,"spawning_biomass",325004,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1974,"spawning_biomass",280770,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1975,"spawning_biomass",251710,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1976,"spawning_biomass",262230,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1977,"spawning_biomass",326160,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1978,"spawning_biomass",389920,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1979,"spawning_biomass",378790,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1980,"spawning_biomass",335062,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1981,"spawning_biomass",286167,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1982,"spawning_biomass",258245,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1983,"spawning_biomass",262535,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1984,"spawning_biomass",291809,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1985,"spawning_biomass",306721,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1986,"spawning_biomass",306681,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1987,"spawning_biomass",303975,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1988,"spawning_biomass",303983,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1989,"spawning_biomass",278390,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
1990,"spawning_biomass",268212,"t","Native MFCL / INI 1003","MFCL report census spawning_biomass","Spawning potential","native-1003","Spawning potential","all"
