"time","axis","series","series_label","record","region","bin","bin_lower","bin_upper","bin_unit","observed","predicted","raw_sample_size","weighting_total","tail_compressed","prediction_scope"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",45,44,46,"cm",0,1.24539611517314e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",47,46,48,"cm",0,2.16038616611733e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",49,48,50,"cm",0,1.51454098668843e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",51,50,52,"cm",0,5.07296902721988e-10,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",53,52,54,"cm",0,3.84790628259631e-10,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",55,54,56,"cm",0,9.02267525200361e-10,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",57,56,58,"cm",0,1.5188346152269e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",59,58,60,"cm",0,1.62163636159909e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",61,60,62,"cm",0,1.13026643580805e-09,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",63,62,64,"cm",0,6.31619660506845e-10,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",65,64,66,"cm",0,4.97798648077151e-10,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",67,66,68,"cm",0,1.35767514727209e-08,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",69,68,70,"cm",0,4.1930857711311e-08,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",71,70,72,"cm",0,1.06436371657824e-07,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",73,72,74,"cm",0,2.19365832806855e-07,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",75,74,76,"cm",0,1.07288946587714e-05,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",77,76,78,"cm",0,3.21532431065257e-05,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",79,78,80,"cm",0.000410039844450274,0.000597713550007421,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",81,80,82,"cm",0,0.00226229093566475,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",83,82,84,"cm",0.000673145042582097,0.00671105168894103,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",85,84,86,"cm",0.0290926119365115,0.0144506643916174,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",87,86,88,"cm",0.0473826801846643,0.0276161917467869,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",89,88,90,"cm",0.0867830775398541,0.0469638693502686,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",91,90,92,"cm",0.0755583888775514,0.0712504638718931,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",93,92,94,"cm",0.107482528275587,0.0966727069297915,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",95,94,96,"cm",0.105055171991274,0.117586739372433,403.543836438611,2.46063314901592,FALSE,"complete"
1989.83333333333,"length","F4_R1","Fishery 4  / Region 1","966","Region 1",97,96,98,"cm",0.110929369626435,0.128518436941831,403.543836438611,2.46063314901592,FALSE,"complete"
