"time","metric","group","value","unit","definition","model","label"
2034,"fishing_mortality","all",0.0175126869059078,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2034,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2035,"total_biomass","all",2684312.17361978,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2035,"biomass_depletion","all",0.850797375370301,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2035,"fishing_mortality","all",0.0169614655743924,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2035,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2036,"total_biomass","all",2756831.31250809,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2036,"biomass_depletion","all",0.873782441577069,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2036,"fishing_mortality","all",0.0165115858002605,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2036,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2037,"total_biomass","all",2813877.14068053,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2037,"biomass_depletion","all",0.89186321525232,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2037,"fishing_mortality","all",0.0161741239825403,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2037,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2038,"total_biomass","all",2842951.46788188,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2038,"biomass_depletion","all",0.901078373428283,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2038,"fishing_mortality","all",0.0160073832565533,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2038,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2039,"total_biomass","all",2891473.67838559,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2039,"biomass_depletion","all",0.916457571775413,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2039,"fishing_mortality","all",0.0157366363644078,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2039,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2040,"total_biomass","all",2922215.92951827,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2040,"biomass_depletion","all",0.926201381319515,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2040,"fishing_mortality","all",0.0155697884859025,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2040,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2041,"total_biomass","all",2942692.2473906,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2041,"biomass_depletion","all",0.932691385602262,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2041,"fishing_mortality","all",0.0154606064105875,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2041,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2042,"total_biomass","all",2953084.07280202,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2042,"biomass_depletion","all",0.93598509259813,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2042,"fishing_mortality","all",0.0154057796984769,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2042,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2043,"total_biomass","all",2967676.43550769,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2043,"biomass_depletion","all",0.940610167137689,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2043,"fishing_mortality","all",0.0153294443325102,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2043,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2044,"total_biomass","all",2973868.75414126,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2044,"biomass_depletion","all",0.942572833213815,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2044,"fishing_mortality","all",0.0152972793051984,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2044,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2045,"total_biomass","all",2979124.99005977,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2045,"biomass_depletion","all",0.944238806258136,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2045,"fishing_mortality","all",0.0152700823420903,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2045,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2046,"total_biomass","all",2978420.52865176,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2046,"biomass_depletion","all",0.944015525999276,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2046,"fishing_mortality","all",0.0152737217726278,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2046,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2047,"total_biomass","all",2989342.35921195,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2047,"biomass_depletion","all",0.947477219041603,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2047,"fishing_mortality","all",0.0152174910957583,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2047,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2048,"total_biomass","all",2991329.9507504,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2048,"biomass_depletion","all",0.948107189609424,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2048,"fishing_mortality","all",0.0152073025478869,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2048,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2049,"total_biomass","all",3000259.04967252,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2049,"biomass_depletion","all",0.950937282920484,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2049,"fishing_mortality","all",0.0151616991112274,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2049,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2050,"total_biomass","all",3005670.10360454,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2050,"biomass_depletion","all",0.952652325801336,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2050,"fishing_mortality","all",0.0151341961831334,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2050,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
