"time","metric","group","value","unit","definition","model","label"
2046,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2047,"total_biomass","all",2995228.30386256,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2047,"biomass_depletion","all",0.949342779355164,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2047,"fishing_mortality","all",0.0151873588582057,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2047,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2048,"total_biomass","all",2995291.17693219,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2048,"biomass_depletion","all",0.949362707083076,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2048,"fishing_mortality","all",0.0151870376328126,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2048,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2049,"total_biomass","all",2994729.18986325,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2049,"biomass_depletion","all",0.949184584311833,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2049,"fishing_mortality","all",0.0151899093684439,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2049,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2050,"total_biomass","all",2995584.36589465,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2050,"biomass_depletion","all",0.94945563383064,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2050,"fishing_mortality","all",0.0151855398777296,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2050,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2051,"total_biomass","all",2993439.22824319,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2051,"biomass_depletion","all",0.948775728750448,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2051,"fishing_mortality","all",0.0151965051396188,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2051,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2052,"total_biomass","all",2994357.20436983,"t","Illustrative surplus-production total_biomass","fixed-catch-17","fixed-catch 17"
2052,"biomass_depletion","all",0.94906668286781,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-17","fixed-catch 17"
2052,"fishing_mortality","all",0.0151918107996368,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-17","fixed-catch 17"
2052,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-17","fixed-catch 17"
2023,"total_biomass","all",902918.314809643,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2023,"biomass_depletion","all",0.286181517918576,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2023,"fishing_mortality","all",0.0512932943875505,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2023,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2024,"total_biomass","all",1053676.60326551,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2024,"biomass_depletion","all",0.333964617587124,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2024,"fishing_mortality","all",0.0437910681877524,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2024,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2025,"total_biomass","all",1247544.00127381,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2025,"biomass_depletion","all",0.395411223915665,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2025,"fishing_mortality","all",0.0368588523328066,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2025,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2026,"total_biomass","all",1417494.00302975,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2026,"biomass_depletion","all",0.449277170231124,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2026,"fishing_mortality","all",0.0323673208819163,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2026,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2027,"total_biomass","all",1600101.57422113,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2027,"biomass_depletion","all",0.50715495502054,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2027,"fishing_mortality","all",0.0286200813408293,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2027,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2028,"total_biomass","all",1817391.06656851,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2028,"biomass_depletion","all",0.576025234566082,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2028,"fishing_mortality","all",0.0251548031838005,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2028,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2029,"total_biomass","all",1981465.08156311,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2029,"biomass_depletion","all",0.628028776738163,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2029,"fishing_mortality","all",0.0230476776228698,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2029,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2030,"total_biomass","all",2133233.67220441,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2030,"biomass_depletion","all",0.676132093427722,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2030,"fishing_mortality","all",0.0213902863570799,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2030,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2031,"total_biomass","all",2305621.9145618,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2031,"biomass_depletion","all",0.73077084430914,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2031,"fishing_mortality","all",0.01977504109124,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2031,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2032,"total_biomass","all",2440129.7060795,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2032,"biomass_depletion","all",0.773403320931928,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2032,"fishing_mortality","all",0.0186747334072615,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2032,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2033,"total_biomass","all",2547872.63856839,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2033,"biomass_depletion","all",0.807552629301169,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2033,"fishing_mortality","all",0.0178779249612929,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2033,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2034,"total_biomass","all",2638873.03977768,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2034,"biomass_depletion","all",0.836395363491098,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2034,"fishing_mortality","all",0.0172560618377417,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2034,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2035,"total_biomass","all",2731285.48034619,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2035,"biomass_depletion","all",0.865685645992491,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2035,"fishing_mortality","all",0.0166673135249668,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2035,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2036,"total_biomass","all",2789959.14835926,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2036,"biomass_depletion","all",0.884282366314163,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2036,"fishing_mortality","all",0.0163139200330512,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2036,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2037,"total_biomass","all",2841036.87105539,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2037,"biomass_depletion","all",0.900471538660375,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2037,"fishing_mortality","all",0.0160182576180211,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2037,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2038,"total_biomass","all",2875298.26466903,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2038,"biomass_depletion","all",0.911330746486304,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2038,"fishing_mortality","all",0.0158258693511296,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2038,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2039,"total_biomass","all",2909089.59948738,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2039,"biomass_depletion","all",0.922040968365955,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2039,"fishing_mortality","all",0.0156405944161663,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2039,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2040,"total_biomass","all",2928246.63167061,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2040,"biomass_depletion","all",0.928112822773035,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2040,"fishing_mortality","all",0.0155374722145544,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2040,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2041,"total_biomass","all",2948357.09583968,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2041,"biomass_depletion","all",0.934486869093235,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2041,"fishing_mortality","all",0.0154306706849301,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2041,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2042,"total_biomass","all",2958495.131218,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2042,"biomass_depletion","all",0.937700136900179,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2042,"fishing_mortality","all",0.0153773849191276,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2042,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2043,"total_biomass","all",2977294.13718024,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2043,"biomass_depletion","all",0.943658514278724,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2043,"fishing_mortality","all",0.0152795446094395,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2043,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2044,"total_biomass","all",2983950.77571925,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2044,"biomass_depletion","all",0.945768347350091,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2044,"fishing_mortality","all",0.0152451976412033,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2044,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2045,"total_biomass","all",2980491.13182068,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2045,"biomass_depletion","all",0.944671807246618,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2045,"fishing_mortality","all",0.0152630294399757,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2045,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2046,"total_biomass","all",2990392.48917675,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2046,"biomass_depletion","all",0.947810059546009,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2046,"fishing_mortality","all",0.01521210634791,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2046,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2047,"total_biomass","all",2991639.79335016,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2047,"biomass_depletion","all",0.948205394756068,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2047,"fishing_mortality","all",0.015205715499833,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2047,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2048,"total_biomass","all",2993682.76218463,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2048,"biomass_depletion","all",0.948852917253419,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2048,"fishing_mortality","all",0.0151952594747114,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2048,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2049,"total_biomass","all",2999705.62085104,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2049,"biomass_depletion","all",0.950761872700542,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2049,"fishing_mortality","all",0.0151645176765364,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2049,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2050,"total_biomass","all",3000185.59845334,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2050,"biomass_depletion","all",0.950914002429822,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2050,"fishing_mortality","all",0.0151620731316551,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2050,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2051,"total_biomass","all",3009093.73794717,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2051,"biomass_depletion","all",0.953737452613918,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2051,"fishing_mortality","all",0.0151168462525004,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2051,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2052,"total_biomass","all",3003860.42373368,"t","Illustrative surplus-production total_biomass","fixed-catch-18","fixed-catch 18"
2052,"biomass_depletion","all",0.952078744643555,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-18","fixed-catch 18"
2052,"fishing_mortality","all",0.0151433831860585,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-18","fixed-catch 18"
2052,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-18","fixed-catch 18"
2023,"total_biomass","all",902918.314809643,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2023,"biomass_depletion","all",0.286181517918576,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2023,"fishing_mortality","all",0.0512932943875505,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2023,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2024,"total_biomass","all",1057978.15167682,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2024,"biomass_depletion","all",0.335328000778666,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2024,"fishing_mortality","all",0.0436090822014675,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2024,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2025,"total_biomass","all",1236874.10989745,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2025,"biomass_depletion","all",0.392029383432393,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2025,"fishing_mortality","all",0.0371828001307967,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2025,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2026,"total_biomass","all",1432065.34880963,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2026,"biomass_depletion","all",0.453895583419787,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2026,"fishing_mortality","all",0.0320326496840435,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2026,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2027,"total_biomass","all",1631281.48106865,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2027,"biomass_depletion","all",0.517037480298658,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2027,"fishing_mortality","all",0.028065294835012,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2027,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2028,"total_biomass","all",1799446.34024593,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2028,"biomass_depletion","all",0.570337622593438,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2028,"fishing_mortality","all",0.0254088699018,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2028,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2029,"total_biomass","all",1977984.86915509,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2029,"biomass_depletion","all",0.626925717410128,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2029,"fishing_mortality","all",0.0230887011706995,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2029,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2030,"total_biomass","all",2154769.93126757,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2030,"biomass_depletion","all",0.682958047899898,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2030,"fishing_mortality","all",0.0211742175071025,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2030,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2031,"total_biomass","all",2305994.5808812,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2031,"biomass_depletion","all",0.730888961542131,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2031,"fishing_mortality","all",0.0197718134910867,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2031,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2032,"total_biomass","all",2451269.16916291,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2032,"biomass_depletion","all",0.776933992978028,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2032,"fishing_mortality","all",0.0185890748918206,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2032,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2033,"total_biomass","all",2559544.36546452,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2033,"biomass_depletion","all",0.811252003281161,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2033,"fishing_mortality","all",0.017795670468305,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2033,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2034,"total_biomass","all",2669741.90922576,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2034,"biomass_depletion","all",0.846179304928751,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2034,"fishing_mortality","all",0.0170548275736948,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2034,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2035,"total_biomass","all",2749456.82117834,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2035,"biomass_depletion","all",0.871445083824978,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2035,"fishing_mortality","all",0.01655624120467,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2035,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2036,"total_biomass","all",2814744.4724821,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2036,"biomass_depletion","all",0.892138117563461,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2036,"fishing_mortality","all",0.0161690995979769,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2036,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2037,"total_biomass","all",2858792.63045687,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2037,"biomass_depletion","all",0.906099257241301,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2037,"fishing_mortality","all",0.0159179732923659,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2037,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2038,"total_biomass","all",2889660.98548281,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2038,"biomass_depletion","all",0.915883035631967,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2038,"fishing_mortality","all",0.0157465861347904,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2038,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2039,"total_biomass","all",2926207.6526855,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2039,"biomass_depletion","all",0.927466564865326,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2039,"fishing_mortality","all",0.0155483833169139,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2039,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2040,"total_biomass","all",2940300.81714924,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2040,"biomass_depletion","all",0.931933417660708,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2040,"fishing_mortality","all",0.0154732787495703,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2040,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2041,"total_biomass","all",2951291.88056128,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2041,"biomass_depletion","all",0.935417054174892,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2041,"fishing_mortality","all",0.0154152074423944,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2041,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2042,"total_biomass","all",2960104.14028028,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2042,"biomass_depletion","all",0.938210115098913,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2042,"fishing_mortality","all",0.015368961748623,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2042,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2043,"total_biomass","all",2978233.65649081,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2043,"biomass_depletion","all",0.943956296545406,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2043,"fishing_mortality","all",0.0152746874938901,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2043,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2044,"total_biomass","all",2982584.63154068,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2044,"biomass_depletion","all",0.94533534559533,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
2044,"fishing_mortality","all",0.0152522340814722,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-19","fixed-catch 19"
2044,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-19","fixed-catch 19"
2045,"total_biomass","all",2990728.93114258,"t","Illustrative surplus-production total_biomass","fixed-catch-19","fixed-catch 19"
2045,"biomass_depletion","all",0.947916695407628,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-19","fixed-catch 19"
