"year","value","type"
2000,6000,"Released"
2001,6375,"Released"
2002,6750,"Released"
2003,7125,"Released"
2004,7500,"Released"
2005,7875,"Released"
2006,8250,"Released"
2007,8625,"Released"
2008,9000,"Released"
2000,400,"Recaptured"
2001,462.5,"Recaptured"
2002,525,"Recaptured"
2003,587.5,"Recaptured"
2004,650,"Recaptured"
2005,712.5,"Recaptured"
2006,775,"Recaptured"
2007,837.5,"Recaptured"
2008,900,"Recaptured"
