"time","metric","group","value","unit","definition","initial_state","display_name","coverage","model","label"
1993,"spawning_biomass","all",280654.181216291,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1994,"spawning_biomass","all",283478.077274029,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1995,"spawning_biomass","all",296172.213515552,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1996,"spawning_biomass","all",302449.682245878,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1997,"spawning_biomass","all",317109.3354453,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1998,"spawning_biomass","all",327509.873491464,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
1999,"spawning_biomass","all",329303.958113062,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2000,"spawning_biomass","all",309271.151326119,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2001,"spawning_biomass","all",282715.347032037,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2002,"spawning_biomass","all",267211.740192896,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2003,"spawning_biomass","all",262208.363089461,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2004,"spawning_biomass","all",258595.278343163,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2005,"spawning_biomass","all",294105.92885607,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2006,"spawning_biomass","all",320113.177565044,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2007,"spawning_biomass","all",316322.241590265,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2008,"spawning_biomass","all",296487.742477886,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2009,"spawning_biomass","all",287045.364453604,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2010,"spawning_biomass","all",297453.172859345,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2011,"spawning_biomass","all",312718.333000707,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2012,"spawning_biomass","all",318864.260295383,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
2013,"spawning_biomass","all",328185.029163764,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"reference","Reference"
