"time","kind","series","series_label","record","observed","predicted","unit","model","label"
1954,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1954",4.40903714715002,5.05322105333346,"geometric-mean-scaled index","reference","Reference"
1955,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1955",3.14529508758885,4.7659417472435,"geometric-mean-scaled index","reference","Reference"
1956,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1956",3.55845376339654,4.63099072156651,"geometric-mean-scaled index","reference","Reference"
1957,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1957",3.81367935187817,4.5100474659956,"geometric-mean-scaled index","reference","Reference"
1958,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1958",4.19937988018333,4.39191932226178,"geometric-mean-scaled index","reference","Reference"
1959,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1959",5.02003875847804,4.24193418019977,"geometric-mean-scaled index","reference","Reference"
1960,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1960",6.09415385779237,4.1145273038472,"geometric-mean-scaled index","reference","Reference"
1961,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1961",5.9871599837675,3.94514623503308,"geometric-mean-scaled index","reference","Reference"
1962,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1962",4.31836862588877,3.6763911719862,"geometric-mean-scaled index","reference","Reference"
1963,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1963",2.6756633141332,3.32872949217038,"geometric-mean-scaled index","reference","Reference"
1964,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1964",2.42251196662564,2.93850901564408,"geometric-mean-scaled index","reference","Reference"
1965,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1965",2.71599052736943,2.49224124235352,"geometric-mean-scaled index","reference","Reference"
1966,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1966",2.44814503331434,2.05224429404415,"geometric-mean-scaled index","reference","Reference"
1967,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1967",1.94746079529619,1.81394916878713,"geometric-mean-scaled index","reference","Reference"
1968,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1968",1.71471945569896,1.75189111558133,"geometric-mean-scaled index","reference","Reference"
1969,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1969",1.65433171113289,1.68863878871589,"geometric-mean-scaled index","reference","Reference"
1970,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1970",1.54780579698768,1.48902577968214,"geometric-mean-scaled index","reference","Reference"
1971,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1971",1.23412080025738,1.23260383007629,"geometric-mean-scaled index","reference","Reference"
1972,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1972",1.07338614840291,1.04233974183652,"geometric-mean-scaled index","reference","Reference"
1973,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1973",0.989103263951998,0.865759149532346,"geometric-mean-scaled index","reference","Reference"
1974,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1974",0.580301639759145,0.741152896876202,"geometric-mean-scaled index","reference","Reference"
