"year","depletion","model"
2003,0.591191750904705,"Upper"
2004,0.581198784744478,"Upper"
2005,0.600136710491061,"Upper"
2006,0.606559903484258,"Upper"
2007,0.595838632641412,"Upper"
2008,0.582640923282602,"Upper"
2009,0.568711168957449,"Upper"
2010,0.559067873962149,"Upper"
2011,0.564788503064086,"Upper"
2012,0.568551319658366,"Upper"
2013,0.560879985040906,"Upper"
2014,0.569099725796118,"Upper"
2015,0.556417088232129,"Upper"
2016,0.535132284888295,"Upper"
2017,0.513413674035947,"Upper"
2018,0.507710681388301,"Upper"
2019,0.489519674914865,"Upper"
2020,0.469062874830942,"Upper"
2021,0.480181803430169,"Upper"
2022,0.517185518122522,"Upper"
