"Fishery","Fishery name"
"1","1.LL.DWFN.1a"
"2","2.LL.DWFN.1b"
"3","3.LL.DWFN.1c"
"4","4.LL.DWFN.1d"
"5","5.LL.PICT.1ab"
"6","6.LL.PICT.1ab"
"7","7.LL.AZ.1ab"
"8","8.LL.DWFN.1cd"
"9","9.LL.PICT.1cd"
"10","10.LL.AZ.1cd"
"11","11.TR.ALL1c"
"12","12.TR.All.1d"
"13","13.DN.All.1cd"
"14","14.LL.EPO.2a"
"15","15.LL.EPO.2b"
"16","16.LL.EPO.2c"
"17","17.TR.EPO.2abc"
"18","18.L.INDEX.1abcd"
"19","19.TR.INDEX.1ef"
"20","20.L.INDEX.2abc"
