"year","median","lower","upper"
1954,0.996924372976471,0.943090456835741,1.0507582891172
1955,0.990303179134773,0.934991833923687,1.04561452434586
1956,0.98577877597364,0.928893541901279,1.042664010046
1957,0.981351051989542,0.922902937863695,1.03979916611539
1958,0.975966306500481,0.916030493324805,1.03590211967616
1959,0.963809756330066,0.902834615569302,1.02478489709083
1960,0.952578512252473,0.890548840895797,1.01460818360915
1961,0.938049623907154,0.875227888800196,1.00087135901411
1962,0.918065916838279,0.854881380208821,0.981250453467737
1963,0.890716233700074,0.827763554006507,0.953668913393641
1964,0.869284990523822,0.806236261505241,0.932333719542403
1965,0.866904146316212,0.80242177613875,0.931386516493673
1966,0.855425669898783,0.790212042358264,0.920639297439301
1967,0.825296462117441,0.760850517796211,0.889742406438671
1968,0.784718961456113,0.721987604478533,0.847450318433693
1969,0.759421515631149,0.697305302837907,0.821537728424391
1970,0.743563632106971,0.681366721233082,0.80576054298086
1971,0.713645237484005,0.652628569679123,0.774661905288887
1972,0.681388131623728,0.621866874243655,0.740909389003801
1973,0.642418370662253,0.585110873067588,0.699725868256918
1974,0.607520145002937,0.552200075328552,0.662840214677322
1975,0.614840142864902,0.557714260179307,0.671966025550497
1976,0.669404101074095,0.605968218319368,0.732839983828823
1977,0.711265221476001,0.642544449342217,0.779985993609786
1978,0.715608032782309,0.645141688848334,0.786074376716285
1979,0.700778628650069,0.630474043287558,0.77108321401258
1980,0.676310909073571,0.607207847364112,0.745413970783029
1981,0.640354100690459,0.573738440274513,0.706969761106404
1982,0.627799886902226,0.561326957700814,0.694272816103639
1983,0.652548326614445,0.58224584072066,0.722850812508231
1984,0.68080553638533,0.606197259074397,0.755413813696264
1985,0.695693093863639,0.618164237021012,0.773221950706267
1986,0.689954199675352,0.61178644740625,0.768121951944453
1987,0.679336599147198,0.601112987804219,0.757560210490177
1988,0.661976239111717,0.584525019135646,0.739427459087788
1989,0.635508438463113,0.559976391409306,0.71104048551692
1990,0.636818710475566,0.559950946128751,0.713686474822382
1991,0.635235146962726,0.557381474686442,0.713088819239011
1992,0.634430177960873,0.555499599938094,0.713360755983653
1993,0.638900215957631,0.558229668101569,0.719570763813693
1994,0.637781286947313,0.556070249125475,0.719492324769151
1995,0.646370734761608,0.562361550146563,0.730379919376654
1996,0.652231990661402,0.566252467657155,0.738211513665649
1997,0.663380488880837,0.574702126470149,0.752058851291525
1998,0.653840251969026,0.565225667231577,0.742454836706475
1999,0.648278791508346,0.559216725769067,0.737340857247625
2000,0.63241854429045,0.544363562270715,0.720473526310185
2001,0.60040970885715,0.515698962581039,0.68512045513326
2002,0.565252312736127,0.484454482150904,0.646050143321349
2003,0.535221725999121,0.457724768437542,0.612718683560699
2004,0.525538115510552,0.448469496571269,0.602606734449834
2005,0.542006512071403,0.4615185450288,0.622494479114006
2006,0.547146256989939,0.464881207997805,0.629411305982074
2007,0.536827121823333,0.455118876075223,0.618535367571443
2008,0.524304353587817,0.443530641702729,0.605078065472905
2009,0.511153752978661,0.431458869315723,0.590848636641598
2010,0.501882761649498,0.422703375370442,0.581062147928554
2011,0.50640987102095,0.425577918961224,0.587241823080677
2012,0.509172787261542,0.426956357789017,0.591389216734068
2013,0.501701358608563,0.419761722009935,0.583640995207191
2014,0.508445203832983,0.424462019576335,0.592428388089631
2015,0.496520635667687,0.413587085963076,0.579454185372299
2016,0.476957498262039,0.396407793702609,0.55750720282147
2017,0.457054786076381,0.379019402747752,0.53509016940501
2018,0.45144001169523,0.373526776735595,0.529353246654866
2019,0.434747840377849,0.35890991563429,0.510585765121409
2020,0.416085411679199,0.342732001161402,0.489438822196997
2021,0.425443492856604,0.349651985908591,0.501234999804617
2022,0.457686299223471,0.375302765363246,0.540069833083695
