"axis","level","retained"
"Steepness",1,12
"Natural mortality",1,10
"Composition weight",1,11
"Steepness",2,15
"Natural mortality",2,13
"Composition weight",2,14
"Steepness",3,9
"Natural mortality",3,8
"Composition weight",3,10
