"Condition","Period","Probability"
"F/F[MSY] > 1","2018–2021",0
"SB/SB[F=0] < 0.20","2019–2022",0
"SB/SB[MSY] < 1","2019–2022",0
"F/F[MSY] > 1","2022",0
"SB/SB[F=0] < 0.20","2022",0
"SB/SB[MSY] < 1","2022",0
