"Series","Lead","N","Bias","RMSE","Unit"
"F18_R1_G18",1,5,0.0136354517585738,0.075785480555285,"index"
"F19_R1_G19",1,5,0.433613588436609,0.702983034731105,"index"
"F20_R2_G20",1,5,-0.137006956049293,0.218286640798078,"index"
