"series","lead","unit","n","bias","rmse"
"Index 18 (Region 1)",1,"geometric-mean-scaled index",1,-0.130198575803411,0.130198575803411
"Index 19 (Region 1)",1,"geometric-mean-scaled index",1,0.209031772568265,0.209031772568265
"Index 20 (Region 2)",1,"geometric-mean-scaled index",1,-0.170620963356576,0.170620963356576
"Index 18 (Region 1)",2,"geometric-mean-scaled index",1,-0.0807903286412809,0.0807903286412809
"Index 19 (Region 1)",2,"geometric-mean-scaled index",1,-0.282978590186427,0.282978590186427
"Index 20 (Region 2)",2,"geometric-mean-scaled index",1,-0.0922196083407555,0.0922196083407555
"Index 18 (Region 1)",3,"geometric-mean-scaled index",1,-0.117560522891329,0.117560522891329
"Index 19 (Region 1)",3,"geometric-mean-scaled index",1,-0.0410387585700646,0.0410387585700646
"Index 20 (Region 2)",3,"geometric-mean-scaled index",1,-0.170700309449343,0.170700309449343
