"kind","series","lead","unit","n","bias","rmse","mase","n_scaled"
"index","Index 18 (Region 1)",1,"geometric-mean-scaled index",1,-0.0405719019312691,0.0405719019312691,0.183073621003427,1
"index","Index 18 (Region 1)",2,"geometric-mean-scaled index",1,-0.199704037312892,0.199704037312892,0.901129587215555,1
"index","Index 19 (Region 1)",1,"geometric-mean-scaled index",1,-0.10483179653358,0.10483179653358,0.360818158220532,1
"index","Index 19 (Region 1)",2,"geometric-mean-scaled index",1,0.195582723817554,0.195582723817554,0.673171695240386,1
"index","Index 20 (Region 2)",1,"geometric-mean-scaled index",1,-0.19473349117419,0.19473349117419,0.751478273485228,1
"index","Index 20 (Region 2)",2,"geometric-mean-scaled index",1,-0.455295948233113,0.455295948233113,1.75699111149294,1
