"kind","series","lead","unit","n","bias","rmse","mase","n_scaled"
"index","Index 18 (Region 1)",1,"geometric-mean-scaled index",1,-0.197511900062536,0.197511900062536,0.904298150065847,1
"index","Index 19 (Region 1)",1,"geometric-mean-scaled index",1,0.208744693483682,0.208744693483682,0.742835414700037,1
"index","Index 20 (Region 2)",1,"geometric-mean-scaled index",1,-0.44555763134846,0.44555763134846,1.74325402592193,1
